# Community shorthand for !kclog/!missing/!kc boss lookups: alias<TAB>canonical hiscore name.
# Canonical names themselves resolve automatically and do not need rows here.
vork	Vorkath
bandos	General Graardor
graardor	General Graardor
sara	Commander Zilyana
zilyana	Commander Zilyana
zammy	K'ril Tsutsaroth
kril	K'ril Tsutsaroth
arma	Kree'Arra
kree	Kree'Arra
kreearra	Kree'Arra
corp	Corporeal Beast
kbd	King Black Dragon
kq	Kalphite Queen
mole	Giant Mole
thermy	Thermonuclear Smoke Devil
smoke devil	Thermonuclear Smoke Devil
cerb	Cerberus
vard	Vardorvis
duke	Duke Sucellus
whisp	The Whisperer
whisperer	The Whisperer
levi	The Leviathan
leviathan	The Leviathan
muspah	Phantom Muspah
phosani	Phosani's Nightmare
doom	Doom of Mokhaiotl
mokhaiotl	Doom of Mokhaiotl
amox	Amoxliatl
arax	Araxxor
huey	The Hueycoatl
hueycoatl	The Hueycoatl
titans	The Royal Titans
royal titans	The Royal Titans
gauntlet	The Gauntlet
cg	The Corrupted Gauntlet
corrupted gauntlet	The Corrupted Gauntlet
jad	TzTok-Jad
zuk	TzKal-Zuk
inferno	TzKal-Zuk
sire	Abyssal Sire
hydra	Alchemical Hydra
scur	Scurrius
scurrius	Scurrius
sara mage	Sarachnis
sarachnis	Sarachnis
cox	Chambers of Xeric
raids	Chambers of Xeric
cm	Chambers of Xeric: Challenge Mode
toa	Tombs of Amascut
tombs	Tombs of Amascut
expert	Tombs of Amascut: Expert Mode
toa expert	Tombs of Amascut: Expert Mode
tob	Theatre of Blood
hmt	Theatre of Blood: Hard Mode
prime	Dagannoth Prime
rex	Dagannoth Rex
supreme	Dagannoth Supreme
vetion	Vet'ion
calvarion	Cal'varion
chaos ele	Chaos Elemental
chaos fan	Chaos Fanatic
crazy arch	Crazy Archaeologist
deranged arch	Deranged Archaeologist
grotesque	Grotesque Guardians
gg	Grotesque Guardians
shellbane	Shellbane Gryphon
sol	Sol Heredit
colosseum	Sol Heredit
barrows	Barrows Chests
lunar	Lunar Chests
moons	Lunar Chests
mad angel	Mad Angel
angel	Mad Angel
maggot	Maggot King
mk	Maggot King
perilous	Lunar Chests
perilous moons	Lunar Chests
nightmare	Nightmare
nm	Nightmare
pnm	Phosani's Nightmare
vorky	Vorkath
bryo	Bryophyta
hesp	Hespori
wt	Wintertodt
winter	Wintertodt
zal	Zalcano
tempo	Tempoross
krak	Kraken
abby	Abyssal Sire
ele	Chaos Elemental
fan	Chaos Fanatic
ven	Venenatis
venom	Venenatis
vet	Vet'ion
calv	Cal'varion
calli	Callisto
art	Artio
spin	Spindel
