# EHB rates by TempleOSRS (templeosrs.com)
# source: https://templeosrs.com/api/rates/ehb_rates.php
# rates_last_updated: 2026-06-30 14:00:00
# boss,main,ironman
Abyssal Sire,50,44
Alchemical Hydra,30,29
Amoxliatl,85,71
Araxxor,40,38
Artio,60,50
Barrows Chests,0,22
Brutus,250,250
Bryophyta,0,9
Callisto,142,142
Cal'varion,55,45
Cerberus,65,54
Chambers of Xeric,3.5,3.5
Chambers of Xeric: Challenge Mode,3,3
Chaos Elemental,120,48
Chaos Fanatic,100,80
Commander Zilyana,60,30
Corporeal Beast,60,10
Crazy Archaeologist,0,95
Dagannoth Prime,105,100
Dagannoth Rex,105,100
Dagannoth Supreme,105,100
Deranged Archaeologist,0,95
Doom of Mokhaiotl,20,18
Duke Sucellus,39,37
General Graardor,58,31
Giant Mole,125,97
Grotesque Guardians,37,34
Hespori,0,50
Kalphite Queen,55,37
King Black Dragon,130,75
Kraken,100,90
Kree'Arra,40,30
K'ril Tsutsaroth,65,32
Lunar Chests,18,18
Mimic,0,50
Maggot King,33,33
Nex,13,15
Nightmare,14,11
Phosani's Nightmare,9.6,9.3
Obor,0,12
Phantom Muspah,30,27
Sarachnis,110,67
Scorpia,130,80
Scurrius,70,60
Shellbane Gryphon,95,95
Skotizo,45,38
Sol Heredit,2.7,2.8
Spindel,55,50
Tempoross,0,0
The Gauntlet,10,10
The Corrupted Gauntlet,7.2,7.2
The Hueycoatl,9,9
The Leviathan,31,27
The Royal Titans,55,55
The Whisperer,22,21
Theatre of Blood,3.2,3.2
Theatre of Blood: Hard Mode,3,3
Thermonuclear Smoke Devil,150,100
Tombs of Amascut,3.7,3.7
Tombs of Amascut: Expert Mode,3,3
TzKal-Zuk,1,1
TzTok-Jad,2.5,2.2
Vardorvis,39,37
Venenatis,80,80
Vet'ion,50,39
Vorkath,34,34
Wintertodt,0,0
Yama,18,18
Zalcano,0,0
Zulrah,46,42
